fullName,description,url,stars,size,language,pushedAt,forks,openIssues,commitCount,license,topics,watchersCount,hasIssuesEnabled
ivangfr/web-reactive-jvm-native-cds-aot-virtual-threads,In this project; we’ll create six apps using Spring Boot; Quarkus; and Micronaut. For each framework; one app will use blocking Web with Tomcat; and the other will use non-blocking Reactive with Netty. We’ll build both JVM and Native Docker images. For Spring Boot; additional images will test configurations with Virtual Threads; CDS; and AOT,https://github.com/ivangfr/web-reactive-jvm-native-cds-aot-virtual-threads,31,213,Java,Tue Apr 21 15:07:20 CST 2026,14,0,53,MIT License,aot|cds|docker|graalvm|jvm|native|spring-boot|virtual-threads|java|micronaut,1,true
macrozheng/mall,mall项目是一套电商系统，包括前台商城系统及后台管理系统，基于Spring Boot+MyBatis实现，采用Docker容器化部署。 前台商城系统包含首页门户、商品推荐、商品搜索、商品展示、购物车、订单流程、会员中心、客户服务、帮助中心等模块。 后台管理系统包含商品管理、订单管理、会员管理、促销管理、运营管理、内容管理、统计报表、财务管理、权限管理、设置等模块。,https://github.com/macrozheng/mall,83877,58736,Java,Thu May 14 02:32:05 CST 2026,29712,15,1083,Apache License 2.0,spring-boot|spring-security|mybatis|docker|swagger-ui|mysql|redis|elasticsearch|mongodb|elk,2202,true
spring-projects/spring-boot,Spring Boot helps you to create Spring-powered; production-grade applications and services with absolute minimum fuss.,https://github.com/spring-projects/spring-boot,80950,216022,Java,Mon Jun 15 08:10:37 CST 2026,41917,515,61551,Apache License 2.0,java|spring-boot|spring|framework,3334,true
conductor-oss/conductor,Conductor is an event driven agentic workflow engine providing durable and highly resilient execution engine for applications and AI Agents,https://github.com/conductor-oss/conductor,31967,39196,Java,Tue Jun 16 18:29:57 CST 2026,935,196,5622,Apache License 2.0,distributed-systems|grpc|java|javascript|microservice-orchestration|orchestration-engine|orchestrator|reactjs|spring-boot|workflow-automation,49,true
apolloconfig/apollo,Apollo is a reliable configuration management system suitable for microservice configuration management scenarios.,https://github.com/apolloconfig/apollo,29761,57825,Java,Sat Jun 06 18:42:45 CST 2026,10175,160,3024,Apache License 2.0,configuration-management|spring-boot|config-management|microservices|spring-cloud|distributed-configuration,1236,true
elunez/eladmin,eladmin jpa 版本：项目基于 Spring Boot 2.7.18、 Jpa、 Spring Security、Redis、Vue的前后端分离的后台管理系统，项目采用分模块开发方式， 权限控制采用 RBAC，支持数据字典与数据权限管理，支持一键生成前后端代码，支持动态路由,https://github.com/elunez/eladmin,21931,7523,Java,Sat May 09 03:41:00 CST 2026,7368,14,621,Apache License 2.0,spring-boot|spring-security|jpa|redis|vue|element-ui|swagger2|admin|eladmin|jwt,545,true
linlinjava/litemall,又一个小商城。litemall = Spring Boot后端 + Vue管理员前端 + 微信小程序用户前端 + Vue用户移动端,https://github.com/linlinjava/litemall,20282,24614,Java,Thu May 21 19:22:57 CST 2026,7312,48,1195,MIT License,litemall|wechat-mini-program|spring-boot|mall|wechat|vue,726,true
macrozheng/mall-swarm,mall-swarm是一套微服务商城系统，采用了 Spring Cloud Alibaba、Spring Boot 3.5、Sa-Token、MyBatis、Elasticsearch、Docker、Kubernetes等核心技术，同时提供了基于Vue的管理后台方便快速搭建系统。mall-swarm在电商业务的基础集成了注册中心、配置中心、监控中心、网关等系统功能。,https://github.com/macrozheng/mall-swarm,13002,54617,Java,Thu May 21 02:03:07 CST 2026,5526,9,476,Apache License 2.0,springcloud|springboot|docker|java|mysql|elasticsearch|mybatis|rabbitmq|redis|mongodb,271,true
codecentric/spring-boot-admin,Admin UI for administration of spring boot applications,https://github.com/codecentric/spring-boot-admin,12831,99087,Java,Tue Jun 16 17:19:23 CST 2026,3144,50,4938,Apache License 2.0,spring-boot-admin|spring-cloud|spring-boot|java|spring,623,true
newbee-ltd/newbee-mall,🔥 🎉newbee-mall是一套电商系统，包括基础版本(Spring Boot+Thymeleaf)、前后端分离版本(Spring Boot+Vue 3+Element-Plus+Vue-Router 4+Pinia+Vant 4) 、秒杀版本、Go语言版本、微服务版本(Spring Cloud Alibaba+Nacos+Sentinel+Seata+Spring Cloud Gateway+OpenFeign+ELK)。 前台商城系统包含首页门户、商品分类、新品上线、首页轮播、商品推荐、商品搜索、商品展示、购物车、订单结算、订单流程、个人订单管理、会员中心、帮助中心等模块。 后台管理系统包含数据面板、轮播图管理、商品管理、订单管理、会员管理、分类管理、设置等模块。,https://github.com/newbee-ltd/newbee-mall,11579,36245,Java,Mon Oct 27 04:43:30 CST 2025,2779,21,106,GNU General Public License v3.0,spring-boot|springboot|mybatis|mall|shop|springboot2|springboot-sample|springboot-learning|adminlte|springboot-mybatis,227,true
apereo/cas,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,https://github.com/apereo/cas,11342,334971,Java,Tue Jun 16 18:46:19 CST 2026,3952,14,33567,Apache License 2.0,sso-authentication|authentication|authorization|java|websso|saml2|oauth2|openidconnect|ldap-authentication|spring-boot,583,false
zfile-dev/zfile,在线云盘、网盘、OneDrive、云存储、私有云、对象存储、h5ai、上传、下载,https://github.com/zfile-dev/zfile,10766,40800,Java,Sat May 16 06:27:19 CST 2026,1959,57,773,MIT License,h5ai|clouddisk|spring-boot|vue|mysql|h2,95,true
hs-web/hsweb-framework,hsweb (haʊs wɛb) 是一个基于spring-boot 2.x开发 ;首个使用全响应式编程的企业级后台管理系统基础项目。,https://github.com/hs-web/hsweb-framework,8402,34446,Java,Sun May 31 00:37:16 CST 2026,3027,8,3218,Apache License 2.0,spring-boot|javaweb|mybatis|java|java8|hsweb|reactor|reactive-streams|spring-webflux|r2dbc,696,true
pig-mesh/pig,↥ ↥ ↥ Follow for updates An RBAC permission management system based on Spring Cloud 2025; Spring Boot 4; and OAuth2.,https://github.com/pig-mesh/pig,6645,83097,Java,Mon Jun 15 08:47:06 CST 2026,1089,282,2726,Apache License 2.0,oauth2|spring-boot|spring-cloud|spring-cloud-alibaba|docker|rbac-management|spring-authorization-server|spring-security|vue3|sa-token,99,true
jetlinks/jetlinks-community,JetLinks  基于Java;Spring Boot ;WebFlux;Netty;Vert.x;Reactor等开发; 是一个全响应式的企业级物联网平台。支持统一物模型管理;多种设备;多种厂家;统一管理。统一设备连接管理;多协议适配(TCP;MQTT;UDP;CoAP;HTTP等);屏蔽网络编程复杂性;灵活接入不同厂家不同协议等设备。实时数据处理;设备告警;消息通知;数据转发。地理位置;数据可视化等。能帮助你快速建立物联网相关业务系统。,https://github.com/jetlinks/jetlinks-community,6516,72562,Java,Sun May 24 06:53:47 CST 2026,1910,51,1482,Apache License 2.0,iot|java|spring-boot|webflux|reactor|r2dbc|iot-platform|rule-engine|mqtt|tcp,140,true
DerekYRC/mini-spring,mini-spring is a simplified version of the Spring framework that helps you quickly familiarize yourself with Spring source code and master Spring's core principles. It extracts Spring's core logic with extremely simplified code while preserving Spring's core functionality.,https://github.com/DerekYRC/mini-spring,6359,1103,Java,Fri Feb 27 17:10:04 CST 2026,1451,32,171,Apache License 2.0,mini-spring|springboot|spring|springframework|spring-boot|spring-mvc|tiny-spring,90,true
apache/camel,Apache Camel is an open source integration framework with 350+ connectors. Write routes in Java; YAML; or XML. Run on Spring Boot; Quarkus; or standalone. Apache License 2.0.,https://github.com/apache/camel,6238,1306673,Java,Tue Jun 16 15:00:11 CST 2026,5131,25,81473,Apache License 2.0,camel|integration|java|microservices|cloud-native|data-transformation|enterprise-integration-patterns|integration-framework|kafka|kubernetes,261,false
rubenlagus/TelegramBots,Java library to create bots using Telegram Bots API,https://github.com/rubenlagus/TelegramBots,5466,4186,Java,Sun May 31 04:16:46 CST 2026,1355,201,1171,MIT License,telegram-bot|telegram-bots-api|webhook|java-library|polling|java|jitpack|telegram|maven|spring-boot,158,true
baomidou/dynamic-datasource,dynamic datasource for springboot 多数据源 动态数据源 主从分离 读写分离 分布式事务 ,https://github.com/baomidou/dynamic-datasource,5177,1404,Java,Mon Apr 27 21:02:17 CST 2026,1248,3,492,Apache License 2.0,dynamicdatasource|springboot|multidatasource|distributed-transaction|datasource|spring-boot|mybatis|multi-datasource|dynamic-datasource,116,true
spring-cloud/spring-cloud-netflix,Integration with Netflix OSS components,https://github.com/spring-cloud/spring-cloud-netflix,4967,21195,Java,Thu Jun 11 09:35:13 CST 2026,2456,100,3612,Apache License 2.0,java|spring|spring-cloud|spring-boot|microservices|cloud-native|netflixoss|netflix-eureka|netflix-zuul|netflix-hystrix,354,true
spring-cloud/spring-cloud-gateway,An API Gateway built on Spring Framework and Spring Boot providing routing and more.,https://github.com/spring-cloud/spring-cloud-gateway,4878,15554,Java,Tue Jun 16 09:22:40 CST 2026,3456,521,3778,Apache License 2.0,java|spring|spring-boot|spring-cloud|microservices|proxy|api-gateway|reactor|spring-cloud-core,208,true
s4kibs4mi/java-developer-roadmap,Roadmap to becoming a Java developer in 2026,https://github.com/s4kibs4mi/java-developer-roadmap,4493,9029,Java,Sun Mar 15 12:46:28 CST 2026,566,0,24,MIT License,java|jee|roadmap|guidelines|software-architecture|software-development|software-engineering|spring-boot,110,true
mybatis/spring-boot-starter,MyBatis integration with Spring Boot,https://github.com/mybatis/spring-boot-starter,4249,16575,Java,Tue Jun 16 17:54:25 CST 2026,1794,22,1945,Apache License 2.0,java|mybatis|spring-boot,215,true
lilishop/lilishop,Java 开源商城系统，基于 Spring Boot / Spring Cloud / Vue / Uniapp 的 B2B2C 多商户商城源码，支持小程序商城、微服务、分销、直播、秒杀、Docker 私有化部署。,https://github.com/lilishop/lilishop,4208,50116,Java,Fri Jun 12 21:20:11 CST 2026,1022,11,2395,GNU Affero General Public License v3.0,redis|vue|uniapp|spring-cloud|mall|shop|b2b2c|docker|java|open-source,255,true
Atmosphere/atmosphere,Real-time transport layer for Java AI agents. Build once with @Agent — deliver over WebSocket; SSE; gRPC; and WebTransport/HTTP3. Talk MCP; A2A and AG-UI. ,https://github.com/Atmosphere/atmosphere,3779,187121,Java,Tue Jun 16 08:21:24 CST 2026,759,13,7978,Apache License 2.0,java|websocket|spring-boot|event-driven|quarkus|mcp|sse|agentic-ai|acp|embabel,227,true
1024-lab/smart-admin,SmartAdmin国内首个以「高质量代码」为核心，「简洁、高效、安全」快速开发平台；基于SpringBoot2/3 + Sa-Token + Mybatis-Plus 和 Vue3 + Vite5 + Ant Design Vue 4.x (同时支持JavaScript和TypeScript双版本)；满足国家三级等保要求、支持登录限制、接口数据国产加解密、高防SQL注入等一系列安全体系。,https://github.com/1024-lab/smart-admin,3739,36440,Java,Fri May 29 10:01:18 CST 2026,991,15,120,MIT License,vue|typescript|vue3|springboot|ant-design-vue|composition-api|element-plus|java|spring-boot|codegenerator,65,true
springdoc/springdoc-openapi,Library for OpenAPI 3 with spring-boot,https://github.com/springdoc/springdoc-openapi,3717,17080,Java,Sun Apr 12 15:46:39 CST 2026,599,35,5662,Apache License 2.0,openapi3|spring-boot|springdoc-openapi|swagger-ui|swagger-documentation|openapi|openapi-specification|swagger|yaml-format|json-format,43,true
grpc-ecosystem/grpc-spring,Spring Boot starter module for gRPC framework.,https://github.com/grpc-ecosystem/grpc-spring,3708,3937,Java,Wed Jun 10 13:43:51 CST 2026,863,172,1546,Apache License 2.0,spring-boot|grpc|spring-boot-grpc|spring-cloud|grpc-java|grpc-framework|spring|spring-boot-starter|java,112,true
spring-cloud/spring-cloud-kubernetes,Kubernetes integration with Spring Cloud Discovery Client; Configuration; etc...,https://github.com/spring-cloud/spring-cloud-kubernetes,3534,61909,Java,Tue Jun 16 18:19:38 CST 2026,1054,26,3633,Apache License 2.0,java|spring|spring-boot|spring-cloud|kubernetes|microservices|cloud-native,163,true
grimmory-tools/grimmory,Grimmory is an independent community fork of Booklore.,https://github.com/grimmory-tools/grimmory,3445,59905,Java,Tue Jun 16 13:55:02 CST 2026,234,146,2580,GNU Affero General Public License v3.0,angular|azw3|cbr|cbz|comics|comics-reader|documents|ebooks|epub|java,17,true
ulisesbocchio/jasypt-spring-boot,Jasypt integration for Spring boot,https://github.com/ulisesbocchio/jasypt-spring-boot,3080,597,Java,Sun Jan 25 15:53:09 CST 2026,544,75,447,MIT License,spring|spring-boot|encryptable-properties|encryption|webapp|website|web|java|java-8|java8,85,true
vladmihalcea/hypersistence-utils,The Hypersistence Utils library (previously known as Hibernate Types) gives you Spring and Hibernate utilities that can help you get the most out of your data access layer.,https://github.com/vladmihalcea/hypersistence-utils,2656,2746,Java,Sun Jun 14 00:43:51 CST 2026,395,49,1051,Apache License 2.0,hibernate|hibernate-types|java|json|array|enum|custom-types|hypersistence|performance|performance-testing,44,true
geekidea/spring-boot-plus,:fire: Spring-Boot-Plus is an easy-to-use; high-speed; high-efficient;feature-rich; open source spring boot scaffolding. :rocket:,https://github.com/geekidea/spring-boot-plus,2525,8477,Java,Fri Jul 11 19:27:54 CST 2025,713,4,456,MIT License,springboot|mybatis|mybatis-plus|redis|swagger|generator|spring-boot-plus|centos|spring-boot|knife4j,93,true
techa03/goodsKill,🐎基于SpringCloud 2025.x + Dubbo 3.x + AI构建的模拟秒杀微服务项目，集成了Elasticsearch🔍、Gateway、Mybatis-Plus、Sharding-JDBC等常用开源组件,https://github.com/techa03/goodsKill,2390,18379,Java,Mon Jun 15 19:52:09 CST 2026,514,5,925,MIT License,sharding-jdbc|springcloud|springcloudalibaba|spring-boot|oauth2|java|ai,44,true
LogNet/grpc-spring-boot-starter,Spring Boot starter module for gRPC  framework. ,https://github.com/LogNet/grpc-spring-boot-starter,2264,17137,Java,Thu Nov 13 03:06:50 CST 2025,429,53,726,Apache License 2.0,grpc|grpc-service|spring-boot|spring-boot-starter|spring|spring-cloud|grpc-framework|java,83,true
lets-mica/mica,Spring Cloud 微服务开发核心工具集。工具类、验证码、http、redis、ip2region、xss 等，开箱即用。 🔝 🔝 记得右上角点个star 关注更新！,https://github.com/lets-mica/mica,2236,66754,Java,Tue Jun 16 09:13:41 CST 2026,375,5,1984,GNU Lesser General Public License v3.0,spring-boot|spring|spring-cloud|redis|swagger|okhttp3|mica|java,67,true
jonashackt/spring-boot-vuejs,Example project showing how to build a Spring Boot App providing a GUI with Vue.js,https://github.com/jonashackt/spring-boot-vuejs,2124,27260,Java,Mon Jun 15 18:05:42 CST 2026,671,35,888,MIT License,spring-boot|vue|frontend|backend|vuejs|vuejs2|rest-api|axios|webpack|vue-cli-3,60,true
zalando/logbook,An extensible Java library for HTTP request and response logging,https://github.com/zalando/logbook,2048,7286,Java,Sun Jun 14 22:20:25 CST 2026,278,32,2814,MIT License,java|http-logs|spring-boot-starter|plugin-extension|logging|logs|logger|request-response|client-side|server-side,67,true
spring-cloud/spring-cloud-config,External configuration (server and client) for Spring Cloud,https://github.com/spring-cloud/spring-cloud-config,2043,41078,Java,Tue Jun 16 07:34:14 CST 2026,1325,209,2937,Apache License 2.0,java|spring|spring-boot|spring-cloud|microservices|cloud-native|git|vault|spring-cloud-core,180,true
xuxueli/xxl-sso,A distributed single-sign-on framework.（单点登录框架XXL-SSO）,https://github.com/xuxueli/xxl-sso,2009,4617,Java,Sat Jun 13 01:34:13 CST 2026,830,3,222,GNU General Public License v3.0,sso|authorization|spring-boot|java|authentication|distributed|xxl-sso,90,true
nashtech-garage/yas,YAS: Yet Another Shop; a sample microservices project in Java,https://github.com/nashtech-garage/yas,1971,92410,Java,Fri Jun 12 02:44:07 CST 2026,721,131,829,MIT License,java|kubernetes|microservices|sample-project|spring-boot|hacktoberfest|keycloak|ecommerce|shop|docker,31,true
javahongxi/whatsmars,Java生态研究(Spring Boot + Redis + Dubbo + RocketMQ + Elasticsearch)🔥🔥🔥🔥🔥,https://github.com/javahongxi/whatsmars,1960,15519,Java,Tue Jun 16 17:39:35 CST 2026,601,2,1686,Apache License 2.0,java|dubbo|redis|rocketmq|zookeeper|tomcat|spring|spring-boot|spring-mvc|rpc,125,true
atjiu/pybbs,更实用的Java开发的社区(论坛)，Better use of Java development community (forum),https://github.com/atjiu/pybbs,1958,57342,Java,Mon Oct 27 00:09:46 CST 2025,720,0,946,GNU Affero General Public License v3.0,spring-boot|spring-data|spring-security|elasticsearch|redis|mybatis-plus,100,true
YeautyYE/netty-websocket-spring-boot-starter,:rocket: lightweight high-performance WebSocket framework     （ 轻量级、高性能的WebSocket框架）,https://github.com/YeautyYE/netty-websocket-spring-boot-starter,1937,155,Java,Mon Dec 15 17:30:56 CST 2025,563,165,111,Apache License 2.0,spring-boot|netty|netty-spring-boot-starter|spring-boot-starter|annotation|im|chat|asynchronous|websocket|spring-boot-websocket,58,true
LianjiaTech/retrofit-spring-boot-starter,A spring-boot starter for retrofit; supports rapid integration and feature enhancements.（适用于retrofit的spring-boot-starter，支持快速集成和功能增强）,https://github.com/LianjiaTech/retrofit-spring-boot-starter,1911,1957,Java,Sun Jun 14 03:31:39 CST 2026,340,7,414,Apache License 2.0,java|retrofit|http|okhttp3|spring-boot,21,true
linyimin0812/spring-startup-analyzer,spring-startup-analyzer generates an interactive spring application startup report that lets you understand what contributes to the application startup time and helps to optimize it.🚀,https://github.com/linyimin0812/spring-startup-analyzer,1834,17069,Java,Wed Jul 09 20:12:54 CST 2025,147,33,420,Apache License 2.0,async-spring-bean|startup-time-optimization|spring-startup-monitor|spring-startup-optimization|spring-boot-startup|spring-boot-startup-optimization|spring|spring-boot,15,true
ron190/jsql-injection,jSQL Injection is a Java application for automatic SQL database injection.,https://github.com/ron190/jsql-injection,1767,475117,Java,Wed May 06 08:33:56 CST 2026,439,67,1455,GNU General Public License v2.0,java|sql-injection|ctf-tools|spring-boot|sonarcloud|hibernate|docker|hacking|spock|kali-linux,83,true
Netflix/genie,Distributed Big Data Orchestration Service,https://github.com/Netflix/genie,1762,229690,Java,Thu Jun 11 13:24:32 CST 2026,373,18,3211,Apache License 2.0,big-data|bigdata|orchestration|configuration|configuration-management|java|spring-boot|distributed-systems|netflixoss|cloud,506,true
ballcat-projects/ballcat,😸一个快速开发脚手架，快速搭建企业级后台管理系统，并提供多种便捷starter进行功能扩展。主要功能包括前后台用户分离，菜单权限，数据权限，定时任务，访问日志，操作日志，异常日志，统一异常处理，XSS过滤，SQL防注入，国际化 等多种功能,https://github.com/ballcat-projects/ballcat,1732,13299,Java,Thu Apr 30 10:18:55 CST 2026,313,21,1765,Apache License 2.0,security|ouath2|code-generator|upms|spring|spring-boot|ant-design|vue|websocket|i18n,29,true
murraco/spring-boot-jwt,JWT auth service using Spring Boot; Spring Security and MySQL,https://github.com/murraco/spring-boot-jwt,1673,76,Java,Wed Apr 15 20:53:42 CST 2026,652,0,53,MIT License,jwt|spring-boot|spring-security|microservices|java|authentication|jsonwebtoken|swagger2|jwt-authentication,48,true
whwlsfb/JDumpSpider,HeapDump敏感信息提取工具,https://github.com/whwlsfb/JDumpSpider,1661,647,Java,Mon Dec 15 03:23:37 CST 2025,146,2,52,Apache License 2.0,heapdump|jvm|pentesting|spring-boot|web,15,true
dibo-software/diboot,写的更少; 性能更好 -> 为开发人员打造的低代码开发框架，基础框架可免写90%的SQL，同时具备极强的零代码模型表单页面流程的设计能力和代码生成能力，可在pro-code、low-code、no-code之间自由选择灵活切换，全方位赋能开发。,https://github.com/dibo-software/diboot,1608,42284,Java,Wed Oct 15 04:19:30 CST 2025,286,0,3577,Apache License 2.0,spring-boot|mybatis|mybatis-plus|spring-cloud|flowable|vue|spring|springboot|low-code|low-code-framework,51,true
kagkarlsson/db-scheduler,Persistent cluster-friendly scheduler for Java,https://github.com/kagkarlsson/db-scheduler,1573,3579,Java,Mon Jun 15 06:57:04 CST 2026,247,66,1019,Apache License 2.0,java|scheduler|task-scheduler|job-scheduler|jdbc|hacktoberfest|spring-boot|db-scheduler,20,true
roncoo/roncoo-education,领课教育系统是一套基于点播、直播、考试、题库、任务等功能完善的在线教育系统，开源版是基于商业版精简实现的一个网课网校系统，致力于打造一个各行业都适用的在线培训系统、远程教学平台、学习管理系统、知识付费系统。,https://github.com/roncoo/roncoo-education,1514,138077,Java,Sun Jun 14 04:19:45 CST 2026,590,0,1881,GNU Affero General Public License v3.0,educational-software|spring-boot|spring-cloud-alibaba|educational-project|ai,58,true
darbyluv2code/spring-boot-3-spring-6-hibernate-for-beginners,Source code for the course: Spring Boot 3; Spring 6 and Hibernate for Beginners,https://github.com/darbyluv2code/spring-boot-3-spring-6-hibernate-for-beginners,1495,1760,Java,Sun Apr 19 11:34:46 CST 2026,1086,2,137,Other,java|spring-boot|tutorial|hibernate|jpa|crud|udemy|backend|course|hands-on,39,false
spring-guides/gs-rest-service,Building a RESTful Web Service :: Learn how to create a RESTful web service with Spring.,https://github.com/spring-guides/gs-rest-service,1465,1658,Java,Fri May 01 06:41:52 CST 2026,2710,6,417,Apache License 2.0,spring-boot,96,true
hawtio/hawtio,Hawtio web console helps you manage your JVM stuff and stay cool!,https://github.com/hawtio/hawtio,1460,114161,Java,Sun Jun 14 23:54:54 CST 2026,543,11,10530,Apache License 2.0,hawtio|java|console|web-app|spring-boot,108,true
201206030/novel-cloud,novel-cloud 是基于 novel 构建的 Spring Cloud 微服务技术栈学习型小说项目。选用了 Spring Boot 3 、Spring Cloud 2022、Spring Cloud Alibaba 2022、MyBatis-Plus、ShardingSphere-JDBC、Redis、RabbitMQ、Elasticsearch 、XXL-JOB 等流行技术。,https://github.com/201206030/novel-cloud,1437,8469,Java,Fri Jul 18 12:05:53 CST 2025,506,11,131,Apache License 2.0,spring-cloud|spring-boot|spring-cloud-alibaba|microsoft-services|study-project,19,false
AnghelLeonard/Hibernate-SpringBoot,Collection of 300+ best practices for Java persistence performance in Spring Boot applications,https://github.com/AnghelLeonard/Hibernate-SpringBoot,1372,33471,Java,Wed Mar 25 05:30:34 CST 2026,539,4,4953,Apache License 2.0,java|hibernate|hibernate-jpa|springboot|persistence|spring-data|jpa|jdbc|sql|functions,86,true
hantsy/spring-reactive-sample,Spring Reactive playground,https://github.com/hantsy/spring-reactive-sample,1367,5203,Java,Fri Jun 12 21:28:00 CST 2026,458,245,1551,GNU General Public License v3.0,spring-webflux|kotlin|spring-boot|reactive-streams|spring-data|spring-data-mongodb-reactive|spring-data-redis|spring-data-cassandra|rxjava|rxjava2,54,true
rstyro/Springboot,springboot 和一些主流框架的整合的各个基本demo,https://github.com/rstyro/Springboot,1311,10267,Java,Sat May 09 02:32:22 CST 2026,346,11,155,MIT License,spring-boot|springboot-redis,16,true
eazybytes/microservices,Microservices With Spring; Docker; Kubernetes - Code Examples,https://github.com/eazybytes/microservices,1225,4494,Java,Sun Dec 07 07:22:42 CST 2025,1207,12,196,Apache License 2.0,docker|docker-compose|java|kubernetes|microservice|spring|spring-boot|spring-cloud,32,true
rampatra/jbot,Make Slack and Facebook Bots in Java.,https://github.com/rampatra/jbot,1206,45820,Java,Wed Oct 08 09:04:53 CST 2025,342,78,321,GNU General Public License v3.0,jbot|slack|slack-bot|java|spring-boot|java8|slash-commands|slack-webhooks|conversation|slackbot,51,true
juanjuandog/FinSight-AI,AI equity research agent with resilient workflows; Redis Lua single-flight; pgvector RAG; versioned reports; evidence tracing; and RAG evaluation.,https://github.com/juanjuandog/FinSight-AI,1163,1842,Java,Mon May 25 19:39:47 CST 2026,64,0,35,MIT License,ai-agent|financial-research|llm-evaluation|pgvector|postgresql|rabbitmq|rag|redis|spring-boot|workflow-orchestration,6,true
adorsys/keycloak-config-cli,Import YAML/JSON-formatted configuration files into Keycloak - Configuration as Code for Keycloak.,https://github.com/adorsys/keycloak-config-cli,1140,19332,Java,Tue Jun 16 13:02:15 CST 2026,191,28,2775,Apache License 2.0,keycloak|jboss|automation|json|rest|oauth2|import|export|continuous-integration|configuration-management,13,true
spring-projects/spring-modulith,Modular applications with Spring Boot,https://github.com/spring-projects/spring-modulith,1140,6502,Java,Thu Jun 11 05:09:46 CST 2026,194,129,1149,Apache License 2.0,architecture|modularity|spring-boot,24,true
awspring/spring-cloud-aws,The New Home for Spring Cloud AWS,https://github.com/awspring/spring-cloud-aws,1101,33824,Java,Mon Jun 01 14:23:20 CST 2026,374,118,2382,Apache License 2.0,spring|aws|spring-boot|spring-cloud|java|amazon-web-services,45,true
hiparker/opsli-boot,OPSLI 快速开发平台基于springboot、vue、element-ui ，项目采用前后端分离架构，热插拔式业务模块与插件扩展性高 ;代码简洁，功能丰富，开箱即用,https://github.com/hiparker/opsli-boot,1082,15909,Java,Sun Apr 19 18:32:34 CST 2026,225,12,655,Apache License 2.0,opsli|springboot|admin|spring-boot|vue|mybatis|element-ui|spring|low-code|codegenerator,24,true
